area,apprate,distance,duration
1.62,627.68,18.3,48
2.02,627.68,18.3,48
2.43,627.68,213.4,48
2.83,627.68,231.6,48
3.24,627.68,249.9,48
3.64,627.68,265.2,48
4.05,627.68,283.5,48
4.45,627.68,298.7,48
4.86,627.68,304.8,48
5.26,627.68,335.3,48
5.67,627.68,335.3,48
6.07,627.68,365.8,48
6.47,627.68,365.8,48
6.88,627.68,396.2,48
7.28,627.68,396.2,48
7.69,627.68,396.2,48
8.09,627.68,426.7,48
8.50,627.68,426.7,48
8.90,627.68,426.7,48
9.31,627.68,457.2,48
9.71,627.68,457.2,48
10.12,627.68,487.7,48
10.52,627.68,487.7,48
10.93,627.68,487.7,48
11.33,627.68,518.2,48
11.74,627.68,518.2,48
12.14,627.68,518.2,48
12.55,627.68,548.6,48
12.95,627.68,548.6,48
13.35,627.68,548.6,48
13.76,627.68,579.1,48
14.16,627.68,579.1,48
14.57,627.68,579.1,48
14.97,627.68,579.1,48
15.38,627.68,609.6,48
15.78,627.68,609.6,48
16.19,627.68,609.6,48
0.40,650.09,18.3,48
0.81,650.09,18.3,48
1.21,650.09,18.3,48
1.62,650.09,18.3,48
2.02,650.09,18.3,48
2.43,650.09,225.6,48
2.83,650.09,243.8,48
3.24,650.09,262.1,48
3.64,650.09,277.4,48
4.05,650.09,295.7,48
4.45,650.09,304.8,48
4.86,650.09,335.3,48
5.26,650.09,335.3,48
5.67,650.09,365.8,48
6.07,650.09,365.8,48
6.47,650.09,396.2,48
6.88,650.09,396.2,48
7.28,650.09,426.7,48
7.69,650.09,426.7,48
8.09,650.09,426.7,48
8.50,650.09,457.2,48
8.90,650.09,457.2,48
9.31,650.09,457.2,48
9.71,650.09,487.7,48
10.12,650.09,487.7,48
10.52,650.09,518.2,48
10.93,650.09,518.2,48
11.33,650.09,518.2,48
11.74,650.09,548.6,48
12.14,650.09,548.6,48
12.55,650.09,548.6,48
12.95,650.09,579.1,48
13.35,650.09,579.1,48
13.76,650.09,579.1,48
14.16,650.09,609.6,48
14.57,650.09,609.6,48
14.97,650.09,609.6,48
15.38,650.09,640.1,48
15.78,650.09,640.1,48
16.19,650.09,640.1,48
0.40,672.51,18.3,48
0.81,672.51,18.3,48
1.21,672.51,18.3,48
1.62,672.51,18.3,48
2.02,672.51,18.3,48
2.43,672.51,234.7,48
2.83,672.51,253.0,48
3.24,672.51,271.3,48
3.64,672.51,289.6,48
4.05,672.51,304.8,48
4.45,672.51,335.3,48
4.86,672.51,335.3,48
5.26,672.51,365.8,48
5.67,672.51,365.8,48
6.07,672.51,396.2,48
6.47,672.51,396.2,48
6.88,672.51,426.7,48
7.28,672.51,426.7,48
7.69,672.51,426.7,48
8.09,672.51,457.2,48
8.50,672.51,457.2,48
8.90,672.51,487.7,48
9.31,672.51,487.7,48
9.71,672.51,518.2,48
10.12,672.51,518.2,48
10.52,672.51,518.2,48
10.93,672.51,548.6,48
11.33,672.51,548.6,48
11.74,672.51,548.6,48
12.14,672.51,579.1,48
12.55,672.51,579.1,48
12.95,672.51,579.1,48
13.35,672.51,609.6,48
13.76,672.51,609.6,48
14.16,672.51,609.6,48
14.57,672.51,640.1,48
